site_id,site_name
OISTTE,OIST Test
KITAMURA04FR,Kitamura 04 Forest
KITAMURA03FR,Kitamura 03 Forest
OISTOP,OIST Open
OISTFR,OIST Forest
TAKEYANBARUFR,Takiyanbaru Forest
HENTONAOP,Hentona Open
NAKAGUSUKUFR,Nakagusuku Forest
GENKAOP,Genka Open
YONAFR,Yona Field Forest
KURASHIKIOP,Kurashiki Open
SENBARUOP,Senbaru Field Open
UEHARAFR,Uehara Forest
OYAMAOP,Oyama Open
CHATANOP,Chatan Ireibaru Open
YACHOOP,Yacho-no-mori Open
OKUFR,Oku Forest
TOUNANOP,Southeast Botanical Garden Open
MANABIFR,Yambaru Manabi-no-mori Forest
SUEYOSHIFR,Sueyoshi Park Forest
HEIWAOP,Heiwasozo-no-mori Open
TAMAGUSUKUFR,Tamagusuku Youth and Children's Center Forest
SEFAUTAKIFR,Sefa Utaki Forest
NAGOFR,Nago Central Park Forest
KEMINFR,Kemin-no-mori Forest
KATSUUDAKEFR,Katsuu Dake Forest
GESASHIOP,Gesashi Open
ISHIGAKIOP,Ishigaki Open
